,group,layer,name,lat,lon,drive_time_s,walk_time_s
53,Education,Secondary Schools,Archbishop Holgate's Church of England School,53.95247682551942,-1.041528201268249,407.6619116184084,3484.6266683545173
54,Education,Secondary Schools,Vale of York Academy,53.97620632044225,-1.099949305454637,266.20049891431773,1919.969207655066
55,Education,Secondary Schools,Fulford School,53.936193133001474,-1.066642560057843,310.02458309657857,3297.704308238985
56,Education,Secondary Schools,Huntington School,53.98983523708452,-1.06552437076676,397.08815052021095,3029.3705859550887
57,Education,Secondary Schools,Joseph Rowntree School,53.99802149762031,-1.070600102703702,456.7669172683422,3494.553798756997
58,Education,Secondary Schools,Millthorpe School,53.94889305087587,-1.09051309601451,127.37404870401383,1031.192633741124
59,Education,Secondary Schools,York High School,53.948011845219284,-1.129628707496369,346.8038726419485,3061.9778782136427
60,Education,Secondary Schools,All Saints Roman Catholic School (Lower Site),53.95479359532746,-1.090728673721571,74.56663800739952,502.3845936227845
61,Education,Secondary Schools,Manor Church of England Academy,53.97530158972472,-1.136247637877546,549.0470099128124,4827.279400102559
62,Education,Library,Rowntree Park Reading Cafe,53.9489329262296,-1.082735799204503,122.328194580088,980.5443545852418
63,Education,Library,Huntington Library,53.99552692324324,-1.055932420033615,487.90090471354074,3653.111004241237
64,Education,Library,York Explore Library,53.9614389802737,-1.086207307083165,71.14486277373213,431.6481225009286
65,Education,Library,Tang Hall Library,53.96458272106678,-1.047945043433314,342.4683534786836,2245.9660852957286
66,Education,Library,Strensall Library,54.039951717605675,-1.035785959005068,961.0631950804465,7597.79481268483
67,Education,Library,Poppleton Library,53.98413485964053,-1.154086967036593,569.4845835915739,5426.787969756121
68,Education,Library,New Earswick Library,53.9892585488323,-1.073557263407392,368.279956276701,2753.4437494339436
69,Education,Library,Fulford Library,53.93722159355024,-1.070281128830041,277.3769817748191,3210.5721827475886
70,Education,Library,Dunnington Library,53.9652422146603,-0.980525145131122,708.1906664864055,6008.750750254118
71,Education,Library,Dringhouses Library,53.93926914073861,-1.107744984366428,265.49274511430474,2572.749928682214
72,Education,Library,Clifton Explore Library,53.97805005704386,-1.106630548490957,298.5334417595553,2103.948265606547
73,Education,Library,Copmanthorpe Library,53.91570387462519,-1.141109940101721,609.3229696322221,6699.217051976066
74,Education,Library,Bishopthorpe Library,53.920971307456306,-1.099757256392663,432.09759666594385,4240.803805614924
75,Education,Library,Acomb Explore Library,53.95365552147573,-1.129202203833947,318.99173415178484,2428.5865918728337
76,Education,Library,Homestead Park Pop-up Reading Cafe,53.969441431097074,-1.102563217219265,208.57632092253098,1568.6828828494424
77,Education,Library,Haxby Library,54.01758965690856,-1.071821349271111,689.3027860321718,5737.461673501568
78,Education,Library,Hungate Reading Café,53.958727068466786,-1.075398136921869,172.4938415722514,627.3021632968217
79,Healthcare,Pharmacies,Fulford Pharmacy,53.934046539593105,-1.070947935295318,301.7035050513395,3620.630291254829
80,Healthcare,Pharmacies,Poppleton Pharmacy,53.980532743535626,-1.152818062303851,528.8447519023105,5111.21301795729
81,Healthcare,Pharmacies,Copmanthorpe Pharmacy,53.915580819460835,-1.141457111263456,609.3229696322221,6725.047645931893
